id,paragraph,tokens
78,"""We've held it,"" cried Robert, ""we _won't_ surrender! The sun _must_ set in a minute. Here--they're all jawing underneath again. Pity there's no time to get more stones! Here, pour that water down on them. It's no good, of course, but they'll hate it.""",hold cry surrender sun _must_ set minute jaw pity be time get more stone pour water good course hate 
79,"""Oh dear!"" said Jane, ""don't you think we'd better surrender?""",dear say think surrender 
80,"""Never!"" said Robert; ""we'll have a parley if you like, but we'll never surrender. Oh, I'll be a soldier when I grow up--you just see if I don't. I won't go into the Civil Service, whatever anyone says.""",say have parley like surrender soldier grow see go civil say 
81,"""Let's wave a handkerchief and ask for a parley,"" Jane pleaded. ""I don't believe the sun's going to set to-night at all.""",let wave handkerchief ask parley plead believe sun go set night 
82,"""Give them the water first--the brutes!"" said the bloodthirsty Robert. So Anthea tilted the pot over the nearest lead-hole, and poured. They heard a splash below, but no one below seemed to have felt it. And again the ram battered the great door. Anthea paused.",give water brute say bloodthirsty tilt pot near lead hole pour hear splash seem feel ram batter great door pause 
83,[Anthea tilted the pot over the nearest lead-hole],tilt pot near lead hole 
84,"""How idiotic,"" said Robert, lying flat on the floor and putting one eye to the lead-hole. ""Of course the holes go straight down into the gate-house--that's for when the enemy has got past the door and the portcullis, and almost all is lost. Here, hand me the pot."" He crawled on to the three-cornered window-ledge in the middle of the wall, and, taking the pot from Anthea, poured the water out through the arrow-slit.",idiotic say lie flat floor put eye lead hole course hole go gate house enemy get door portcullis lose hand pot crawl corner window ledge middle wall take pot pour water arrow slit 
85,"And as he began to pour, the noise of the battering-ram and the trampling of the foe and the shouts of ""Surrender!"" and ""De Talbot for ever!"" all suddenly stopped and went out like the snuff of a candle; the little dark room seemed to whirl round and turn topsy-turvy, and when the children came to themselves there they were, safe and sound, in the big front bedroom of their own house--the house with the ornamental nightmare iron-top to the roof.",begin pour noise battering ram trampling foe shout stop go snuff candle little dark room seem whirl turn topsy turvy child come safe sound big front bedroom own house house ornamental nightmare iron top roof 
86,"They all crowded to the window and looked out. The moat and the tents and the besieging force were all gone--and there was the garden with its tangle of dahlias and marigolds and asters and later roses, and the spiky iron railings and the quiet white road.",crowd window look moat tent besieg force gone be garden tangle dahlia marigold aster late rose spiky iron railing quiet white road 
87,Everyone drew a deep breath.,draw deep breath 
88,"""And that's all right!"" said Robert. ""I told you so! And, I say, we didn't surrender, did we?""",right say tell say surrender 
89,"""Aren't you glad now I wished for a castle?"" asked Cyril.",glad wish castle ask 
90,"""I think I am _now_,"" said Anthea slowly. ""But I wouldn't wish for it again, I think, Squirrel dear!""",think _now_ say wish think dear 
91,"""Oh, it was simply splendid!"" said Jane unexpectedly. ""I wasn't frightened a bit.""",splendid say frighten bit 
92,"""Oh, I say!"" Cyril was beginning, but Anthea stopped him.",say begin stop 
93,"""Look here,"" she said, ""it's just come into my head. This is the very first thing we've wished for that hasn't got us into a row. And there hasn't been the least little scrap of a row about this. Nobody's raging downstairs, we're safe and sound, we've had an awfully jolly day--at least, not jolly exactly, but you know what I mean. And we know now how brave Robert is--and Cyril too, of course,"" she added hastily, ""and Jane as well. And we haven't got into a row with a single grown-up.""",look say come head first thing wish get row be least little scrap row rage safe sound have jolly day least jolly know mean know brave course add get row single grow up 
94,The door was opened suddenly and fiercely.,door open 
95,"""You ought to be ashamed of yourselves,"" said the voice of Martha, and they could tell by her voice that she was very angry indeed. ""I thought you couldn't last through the day without getting up to some mischief! A person can't take a breath of air on the front doorstep but you must be emptying the water jug on their heads! Off you go to bed, the lot of you, and try to get up better children in the morning. Now then--don't let me have to tell you twice. If I find any of you not in bed in ten minutes I'll let you know it, that's all! A new cap, and everything!""",ashamed say voice tell voice angry think last day get mischief person take breath air front doorstep empty water jug head go bed lot try get good child morning let have tell find bed minute let know new cap 
96,"She flounced out amid a disregarded chorus of regrets and apologies. The children were very sorry, but really it was not their faults.",flounce disregard chorus regret apology child sorry fault 
97,"You can't help it if you are pouring water on a besieging foe, and your castle suddenly changes into your house--and everything changes with it except the water, and that happens to fall on somebody else's clean cap.",help pour water besieg foe castle change house change water happen fall else clean cap 
98,"""I don't know why the water didn't change into nothing, though,"" said Cyril.",know water change say 
99,"""Why should it?"" asked Robert. ""Water's water all the world over.""",ask water water world 
100,"""I expect the castle well was the same as ours in the stable-yard,"" said Jane. And that was really the case.",expect castle same stable yard say case 
101,"""I thought we couldn't get through a wish-day without a row,"" said Cyril; ""it was much too good to be true. Come on, Bobs, my military hero. If we lick into bed sharp she won't be so furious, and perhaps she'll bring us up some supper. I'm jolly hungry! Good-night, kids.""",think get wish day row say good true come military hero lick bed sharp furious bring supper jolly hungry good night kid 
102,"""Good-night. I hope the castle won't come creeping back in the night,"" said Jane.",good night hope castle come creep night say 
103,"""Of course it won't,"" said Anthea briskly, ""but Martha will--not in the night, but in a minute. Here, turn round, I'll get that knot out of your pinafore strings.""",course say night minute turn get knot pinafore string 
104,"""Wouldn't it have been degrading for Sir Wulfric de Talbot,"" said Jane dreamily, ""if he could have known that half the besieged garrison wore pinafores?""",degrade say know besiege garrison wear pinafore 
105,"""And the other half knickerbockers. Yes--frightfully. Do stand still--you're only tightening the knot,"" said Anthea.",other half knickerbocker stand tighten knot say 
106,,
107, ,
