id,paragraph,tokens
55,"""An' thee, too!"" she said.  ""Tha'rt grown near as hearty as our 'Lisabeth Ellen.  I'll warrant tha'rt like thy mother too.  Our Martha told me as Mrs. Medlock heard she was a pretty woman.  Tha'lt be like a blush rose when tha' grows up, my little lass, bless thee.""",thee say grow hearty warrant 'rt mother tell hear pretty woman blush rise grow little lass bless 
56,"She did not mention that when Martha came home on her ""day out"" and described the plain sallow child she had said that she had no confidence whatever in what Mrs. Medlock had heard.  ""It doesn't stand to reason that a pretty woman could be th' mother o' such a fou' little lass,"" she had added obstinately.",mention come day describe plain sallow child say have confidence hear stand reason pretty woman mother fou little lass add 
57,"Mary had not had time to pay much attention to her changing face.  She had only known that she looked ""different"" and seemed to have a great deal more hair and that it was growing very fast.  But remembering her pleasure in looking at the Mem Sahib in the past she was glad to hear that she might some day look like her.",have time pay much attention changing face know look different seem have great deal more hair grow fast remember pleasure look past glad hear day look 
58,"Susan Sowerby went round their garden with them and was told the whole story of it and shown every bush and tree which had come alive.  Colin walked on one side of her and Mary on the other.  Each of them kept looking up at her comfortable rosy face, secretly curious about the delightful feeling she gave them--a sort of warm, supported feeling. It seemed as if she understood them as Dickon understood his ""creatures."" She stooped over the flowers and talked about them as if they were children.  Soot followed her and once or twice cawed at her and flew upon her shoulder as if it were Dickon's. When they told her about the robin and the first flight of the young ones she laughed a motherly little mellow laugh in her throat.",go garden tell whole story show bush tree come alive walk side other keep look comfortable rosy face curious delightful feeling give sort warm support feeling seem understand understand creature stoop flower talk child soot follow caw fly shoulder tell robin first flight young one laugh motherly little mellow laugh throat 
59,"""I suppose learnin' 'em to fly is like learnin' children to walk, but I'm feared I should be all in a worrit if mine had wings instead o' legs,"" she said.",suppose learnin' fly learnin' child walk fear worrit have wing leg say 
60,It was because she seemed such a wonderful woman in her nice moorland cottage way that at last she was told about the Magic.,seem wonderful woman nice moorland cottage way last tell 
61,"""Do you believe in Magic?"" asked Colin after he had explained about Indian fakirs.  ""I do hope you do.""",believe ask explain indian fakir hope 
62,"""That I do, lad,"" she answered.  ""I never knowed it by that name but what does th' name matter? I warrant they call it a different name i' France an' a different one i' Germany.  Th' same thing as set th' seeds swellin' an' th' sun shinin' made thee a well lad an' it's th' Good Thing.  It isn't like us poor fools as think it matters if us is called out of our names.  Th' Big Good Thing doesn't stop to worrit, bless thee.  It goes on makin' worlds by th' million--worlds like us.  Never thee stop believin' in th' Big Good Thing an' knowin' th' world's full of it--an' call it what tha' likes.  Tha' wert singin' to it when I come into th' garden.""",answer know name name matter warrant call different name different one same thing set seed make lad good thing poor fool think matter call name big good thing stop worrit bless go makin' world world stop believin big good thing knowin that world full call tha' like come th' garden 
63,"""I felt so joyful,"" said Colin, opening his beautiful strange eyes at her.  ""Suddenly I felt how different I was--how strong my arms and legs were, you know--and how I could dig and stand--and I jumped up and wanted to shout out something to anything that would listen.""",feel joyful say open beautiful strange eye feel different strong arm leg know dig stand jump want shout listen 
64,"""Th' Magic listened when tha' sung th' Doxology.  It would ha' listened to anything tha'd sung.  It was th' joy that mattered.  Eh! lad, lad--what's names to th' Joy Maker,"" and she gave his shoulders a quick soft pat again.",listen sung listen sung joy matter lad lad name give shoulder quick soft pat 
65,"She had packed a basket which held a regular feast this morning, and when the hungry hour came and Dickon brought it out from its hiding place, she sat down with them under their tree and watched them devour their food, laughing and quite gloating over their appetites.  She was full of fun and made them laugh at all sorts of odd things.  She told them stories in broad Yorkshire and taught them new words.  She laughed as if she could not help it when they told her of the increasing difficulty there was in pretending that Colin was still a fretful invalid.",pack basket hold regular feast morning hungry hour come bring hiding place sit tree watch devour food laugh gloat appetite full fun make laugh sort odd thing tell story broad teach new word laugh help tell increase difficulty pretend fretful invalid 
66,"""You see we can't help laughing nearly all the time when we are together,"" explained Colin.  ""And it doesn't sound ill at all.  We try to choke it back but it will burst out and that sounds worse than ever.""",see help laugh time explain sound ill try choke burst sound bad 
67,"""There's one thing that comes into my mind so often,"" said Mary, ""and I can scarcely ever hold in when I think of it suddenly.  I keep thinking suppose Colin's face should get to look like a full moon.  It isn't like one yet but he gets a tiny bit fatter every day--and suppose some morning it should look like one--what should we do!""",be thing come mind say hold think keep think suppose face get look full moon get tiny bit fatter day suppose morning look do 
68,"""Bless us all, I can see tha' has a good bit o' play actin' to do,"" said Susan Sowerby.  ""But tha' won't have to keep it up much longer. Mester Craven'll come home.""",bless see have good bit play actin do say have keep come 
69,"""Do you think he will?"" asked Colin.  ""Why?""",think ask 
70,Susan Sowerby chuckled softly.,chuckle 
71,"""I suppose it 'ud nigh break thy heart if he found out before tha' told him in tha' own way,"" she said.  ""Tha's laid awake nights plannin' it.""",suppose break heart find tell own way say lay awake night plannin 
72,"""I couldn't bear any one else to tell him,"" said Colin.  ""I think about different ways every day, I think now I just want to run into his room."" ""That'd be a fine start for him,"" said Susan Sowerby.  ""I'd like to see his face, lad.  I would that! He mun come back--that he mun.""",bear one else tell say think different way day think want run room fine start say like see face lad come 
73,One of the things they talked of was the visit they were to make to her cottage.  They planned it all.  They were to drive over the moor and lunch out of doors among the heather.  They would see all the twelve children and Dickon's garden and would not come back until they were tired.,thing talk visit make cottage plan drive moor lunch door heather see child garden come tired 
74,Susan Sowerby got up at last to return to the house and Mrs. Medlock. It was time for Colin to be wheeled back also.  But before he got into his chair he stood quite close to Susan and fixed his eyes on her with a kind of bewildered adoration and he suddenly caught hold of the fold of her blue cloak and held it fast.,get last return house time wheel get chair stand fix eye kind bewilder adoration catch hold fold blue cloak hold 
75,"""You are just what I--what I wanted,"" he said.  ""I wish you were my mother--as well as Dickon's!""",want say wish mother 
76,All at once Susan Sowerby bent down and drew him with her warm arms close against the bosom under the blue cloak--as if he had been Dickon's brother.  The quick mist swept over her eyes.,bend draw warm arm close bosom blue cloak brother quick mist sweep eye 
77,"""Eh! dear lad!"" she said.  ""Thy own mother's in this 'ere very garden, I do believe.  She couldna' keep out of it.  Thy father mun come back to thee--he mun!""",dear lad say own mother very garden believe keep father come 
78,,
79, ,
